,fmales,army,house,econ
0,4,12,0,0
1,7,15,0,0
2,9,17,0,1
3,9,17,1,1
4,11,19,1,1
5,13,21,1,1
6,13,23,1,1
7,15,27,1,1
8,15,29,2,1
9,15,31,3,2
10,15,34,4,3
11,15,41,4,3
12,15,45,6,3
13,18,48,6,3
14,18,48,7,3
15,18,46,7,3
16,18,45,7,3
17,18,52,7,4
18,18,57,8,4
19,18,59,8,4
20,18,59,9,4
21,18,58,9,4
22,18,54,10,4
23,18,53,10,4
24,18,52,10,4
25,23,58,10,4
26,27,62,12,4
27,27,63,12,4
28,32,76,13,4
29,32,84,15,5
30,32,92,16,5
31,32,96,16,5
32,32,98,17,5
33,32,92,17,6
34,32,94,17,6
35,32,100,17,6
36,32,112,17,6
37,29,111,17,6
38,29,118,17,6
39,29,118,17,7
40,29,129,17,7
41,29,139,17,8
42,29,150,17,8
43,34,165,18,8
44,34,182,21,8
45,34,188,21,9
46,34,192,21,9
47,34,189,21,10
48,34,188,21,10
49,34,193,21,10
50,34,201,21,10
51,34,215,21,10
52,34,216,23,10
53,33,224,23,9
54,33,236,27,9
55,32,235,27,9
56,32,225,27,9
57,32,204,27,9
58,32,182,27,10
59,32,177,27,10
60,32,194,27,10
61,32,222,27,10
62,32,237,27,10
63,32,229,27,10
64,32,240,27,10
65,32,279,27,10
66,32,321,27,10
67,32,359,27,10
68,32,386,27,10
69,32,385,27,10
70,32,387,27,10
71,32,405,27,10
72,32,405,27,10
73,32,405,27,11
74,32,402,27,11
75,32,402,27,11
76,32,408,27,11
77,32,420,27,11
78,32,422,27,11
79,32,419,27,11
80,31,417,27,11
81,31,426,27,11
82,31,425,27,11
83,31,422,27,11
84,31,418,27,11
85,31,418,27,11
86,31,420,27,11
87,31,420,27,11
88,31,420,27,11
89,31,420,27,11
90,31,420,27,11
91,31,420,27,11
92,31,420,27,11
93,31,420,27,11
94,31,420,27,11
95,31,420,27,11
96,31,420,27,11
97,31,415,27,11
98,31,403,27,11
99,31,408,27,11
100,31,400,27,11
101,31,407,27,11
102,31,398,27,11
103,31,409,27,11
104,31,401,27,11
105,31,404,27,11
106,31,406,27,11
107,31,416,27,11
108,31,415,27,11
109,31,420,27,11
110,31,418,27,11
111,31,412,27,11
112,31,418,27,11
113,31,418,27,11
114,31,417,27,11
115,31,417,27,11
116,31,417,27,11
117,31,417,27,11
118,31,417,27,12
119,31,417,27,12
120,31,417,27,12
121,31,417,27,12
122,31,417,27,12
123,31,417,27,12
124,31,417,27,12
125,31,417,27,12
126,31,417,27,12
127,31,417,27,12
128,31,417,27,12
129,31,417,27,12
130,31,417,27,12
131,31,417,27,12
132,31,417,27,12
133,31,417,27,12
134,31,417,27,12
135,31,417,27,12
136,31,417,27,12
137,31,417,27,12
138,31,417,27,12
139,31,417,27,12
140,31,417,27,12
141,31,417,27,12
142,31,417,27,12
143,31,417,27,12
144,31,417,27,12
145,31,417,27,12
146,31,417,27,12
147,31,417,27,12
148,31,417,27,12
149,31,417,27,12
150,31,417,27,12
151,31,417,27,12
152,31,417,27,12
153,31,417,27,12
154,31,417,27,12
155,31,417,27,12
156,31,417,27,12
157,31,417,27,12
158,31,417,27,12
159,31,417,27,12
160,31,417,27,12
161,31,417,27,12
162,31,417,27,12
163,31,417,27,12
164,31,417,27,12
165,31,417,27,12
166,31,417,27,12
167,31,417,27,12
168,31,417,27,12
169,31,417,27,12
170,31,417,27,12
171,31,417,27,12
172,31,417,27,12
173,31,417,27,12
174,31,417,27,12
175,31,417,27,12
176,31,417,27,12
177,31,417,27,12
178,31,417,27,12
179,31,417,27,13
180,31,417,27,13
181,31,417,27,13
182,31,417,27,13
183,31,417,27,13
184,31,417,27,13
185,31,417,27,13
186,31,417,27,13
187,31,417,27,13
188,31,417,27,13
189,31,417,27,13
190,31,417,27,13
191,31,417,27,13
192,31,417,27,13
193,31,417,27,13
194,31,417,27,13
195,31,417,27,13
196,31,417,27,13
197,31,417,27,13
198,31,417,27,13
199,31,417,27,13
200,31,417,27,13
201,31,417,27,13
202,31,417,27,13
203,31,417,27,13
204,31,417,27,13
205,31,417,27,13
206,31,417,27,13
207,31,417,27,13
208,31,417,27,13
209,31,417,27,13
